# command: if command -v dpkg-query >/dev/null 2>&1; then dpkg-query -W 2>/dev/null | sort; elif command -v pacman >/dev/null 2>&1; then pacman -Q 2>/dev/null | sort; elif command -v apk >/dev/null 2>&1; then apk info -vv 2>/dev/null | sort; elif command -v opkg >/dev/null 2>&1; then opkg list-installed 2>/dev/null | sort; fi || true

adduser	3.134
libjline3-java	3.3.1-3
libjna-java	5.13.0-2
libjna-jni	5.13.0-2
libjpeg-dev:amd64	1:2.1.5-2
libjpeg62-turbo-dev:amd64	1:2.1.5-2
libjpeg62-turbo:amd64	1:2.1.5-2
libjq1:amd64	1.6-2.1+deb12u1
libjs-async	0.8.0-6
libjs-events	3.3.0+~3.0.0-3
libjs-inherits	2.0.4-6
libjs-is-typedarray	1.0.0-4
libjs-prettify	2015.12.04+dfsg-1.1
libjs-regenerate	1.4.2-3
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15
libjs-sprintf-js	1.1.2+ds1+~1.1.2-1
libjs-typedarray-to-buffer	4.0.0-2
libjs-util	0.12.5+~1.0.10-1
libjson-c5:amd64	0.16-2
libjson-perl	4.10000-1
libjson-xs-perl	4.040-1~deb12u1
libjsoup-java	1.15.3-1
libjsr166y-java	1.7.0-2.1
libjsr305-java	0.1~+svn49-11
libjtidy-java	7+svn20110807-5
libjuniversalchardet-java	2.4.0-3
libjxl0.7:amd64	0.7.0-10+deb12u1
libk5crypto3:amd64	1.20.1-2+deb12u4
libkeyutils1:amd64	1.6.3-2
libklu1:amd64	1:5.12.0+dfsg-2
libkmod2:amd64	30+20221128-1
libkrb5-3:amd64	1.20.1-2+deb12u4
libkrb5support0:amd64	1.20.1-2+deb12u4
libksba8:amd64	1.6.3-2
liblab-gamut1:amd64	2.42.2-7+deb12u1
liblapack3:amd64	3.11.0-2
liblcms2-2:amd64	2.14-2+deb12u1
libldap-2.5-0:amd64	2.5.13+dfsg-5
liblerc-dev:amd64	4.0.0+ds-2
liblerc4:amd64	4.0.0+ds-2
liblitehtml0:amd64	0.6-1
libllvm14:amd64	1:14.0.6-12
libllvm15:amd64	1:15.0.6-4+b1
liblmdb0:amd64	0.9.24-1
liblocale-gettext-perl	1.07-5
liblockfile-bin	1.17-1+b1
liblsan0:amd64	12.2.0-14+deb12u1
libltdl7:amd64	2.4.7-7~deb12u1
liblz4-1:amd64	1.9.4-1
liblzma-dev:amd64	5.4.1-1
liblzma5:amd64	5.4.1-1
liblzo2-2:amd64	2.10-2
libmagic-mgc	1:5.44-3
libmagic1:amd64	1:5.44-3
libmaven-archiver-java	3.6.0-1
libmaven-compiler-plugin-java	3.10.1-2
libmaven-file-management-java	3.0.0-1
libmaven-jar-plugin-java	3.3.0-2
libmaven-parent-java	35-1
libmaven-plugin-tools-java	3.7.1-1
libmaven-reporting-api-java	3.1.1-1
libmaven-reporting-impl-java	3.2.0-2
libmaven-resolver-java	1.6.3-1
libmaven-shared-incremental-java	1.1-3
libmaven-shared-io-java	3.0.0-4
libmaven-shared-utils-java	3.3.4-1
libmaven3-core-java	3.8.7-1
libmaxminddb0:amd64	1.7.1-1
libmbedcrypto7:amd64	2.28.3-1
libmbedtls14:amd64	2.28.3-1
libmbedx509-1:amd64	2.28.3-1
libmd-dev:amd64	1.0.4-2
libmd0:amd64	1.0.4-2
libmd4c0:amd64	0.4.8-1
libmetis5:amd64	5.1.0.dfsg-7
libminizip1:amd64	1.1-8+deb12u1
libmnl0:amd64	1.0.4-3
libmono-corlib4.5-cil	6.8.0.105+dfsg-3.3+deb12u1
libmono-corlib4.5-dll	6.8.0.105+dfsg-3.3+deb12u1
libmono-microsoft-csharp4.0-cil	6.8.0.105+dfsg-3.3+deb12u1
libmono-security4.0-cil	6.8.0.105+dfsg-3.3+deb12u1
libmono-system-configuration4.0-cil	6.8.0.105+dfsg-3.3+deb12u1
libmono-system-core4.0-cil	6.8.0.105+dfsg-3.3+deb12u1
libmono-system-numerics4.0-cil	6.8.0.105+dfsg-3.3+deb12u1
libmono-system-security4.0-cil	6.8.0.105+dfsg-3.3+deb12u1
libmono-system-xml4.0-cil	6.8.0.105+dfsg-3.3+deb12u1
libmono-system4.0-cil	6.8.0.105+dfsg-3.3+deb12u1
libmount-dev:amd64	2.38.1-5+deb12u3
libmount1:amd64	2.38.1-5+deb12u3
libmp3lame0:amd64	3.100-6
libmpc3:amd64	1.3.1-1
libmpfr6:amd64	4.2.0-1
libmpg123-0:amd64	1.31.2-1+deb12u1
libmtdev1:amd64	1.1.6-1
libmumps-5.5:amd64	5.5.1-1
libmunge2	0.5.15-2+deb12u1
libncurses-dev:amd64	6.4-4
libncurses6:amd64	6.4-4
libncursesw6:amd64	6.4-4
libnetfilter-conntrack3:amd64	1.0.9-3
libnettle8:amd64	3.8.1-2
libnewt0.52:amd64	0.52.23-1+b1
libnfnetlink0:amd64	1.0.2-2
libnftables1:amd64	1.0.6-2+deb12u2
libnftnl11:amd64	1.2.4-2
libnghttp2-14:amd64	1.52.0-1+deb12u2
libnl-3-200:amd64	3.7.0-0.2+b1
libnl-route-3-200:amd64	3.7.0-0.2+b1
libnode-dev	18.20.4+dfsg-1~deb12u2
libnode108:amd64	18.20.4+dfsg-1~deb12u2
libnpth0:amd64	1.6-3
libnsl-dev:amd64	1.3.0-2
libnsl2:amd64	1.3.0-2
libnspr4:amd64	2:4.35-1
libnss-systemd:amd64	252.39-1~deb12u1
libnss3:amd64	2:3.87.1-1+deb12u2
libnuma1:amd64	2.0.16-1
libnumber-compare-perl	0.03-3
libogg0:amd64	1.3.5-3
libonig5:amd64	6.9.8-1
libopengl-dev:amd64	1.6.0-1
libopengl0:amd64	1.6.0-1
libopenh264-7:amd64	2.3.1+dfsg-3+deb12u2
libopenjp2-7:amd64	2.5.0-2+deb12u3
libopenmpi3:amd64	4.1.4-3+b1
libopus0:amd64	1.3.1-3
liboro-java	2.0.8a-14
libossp-uuid16:amd64	1.6.2-1.5+b11
libp11-kit0:amd64	0.24.1-2
libpam-modules-bin	1.5.2-6+deb12u1
libpam-modules:amd64	1.5.2-6+deb12u1
libpam-runtime	1.5.2-6+deb12u1
libpam-systemd:amd64	252.39-1~deb12u1
libpam0g:amd64	1.5.2-6+deb12u1
libpango-1.0-0:amd64	1.50.12+ds-1
libpango1.0-dev:amd64	1.50.12+ds-1
libpangocairo-1.0-0:amd64	1.50.12+ds-1
libpangoft2-1.0-0:amd64	1.50.12+ds-1
libpangoxft-1.0-0:amd64	1.50.12+ds-1
libpaper-utils	1.1.29
libpaper1:amd64	1.1.29
libpathplan4:amd64	2.42.2-7+deb12u1
libpciaccess0:amd64	0.17-2
libpcre16-3:amd64	2:8.39-15
libpcre2-16-0:amd64	10.42-1
libpcre2-32-0:amd64	10.42-1
libpcre2-8-0:amd64	10.42-1
libpcre2-dev:amd64	10.42-1
libpcre2-posix3:amd64	10.42-1
libpcre3-dev:amd64	2:8.39-15
libpcre32-3:amd64	2:8.39-15
libpcre3:amd64	2:8.39-15
libpcrecpp0v5:amd64	2:8.39-15
libpcsclite1:amd64	1.9.9-2
libperl5.36:amd64	5.36.0-7+deb12u3
libpetsc-real3.18:amd64	3.18.5+dfsg1-1
libpfm4:amd64	4.13.0-1
libpipeline1:amd64	1.5.7-1
libpixman-1-0:amd64	0.42.2-1
libpixman-1-dev:amd64	0.42.2-1
libpkgconf3:amd64	1.8.1-1
libplexus-ant-factory-java	1.0~alpha2.1-4
libplexus-archiver-java	4.6.1-1
libplexus-bsh-factory-java	1.0~alpha7-5
libplexus-build-api-java	0.0.7-4
libplexus-cipher-java	2.0-1
libplexus-classworlds-java	2.7.0-1
libplexus-compiler-java	2.12.1-1
libplexus-component-annotations-java	2.1.1-1
libplexus-container-default-java	2.1.1-1
libplexus-container-default1.5-java	2.1.1-1
libplexus-i18n-java	1.0-beta-10-6
libplexus-interpolation-java	1.26-1
libplexus-io-java	3.3.1-2
libplexus-languages-java	1.1.1-2
libplexus-sec-dispatcher-java	2.0-3
libplexus-utils2-java	3.4.2-1
libplexus-velocity-java	1.2-3.1
libpmix2:amd64	4.2.2-1+deb12u1
libpng-dev:amd64	1.6.39-2+deb12u5
libpng16-16:amd64	1.6.39-2+deb12u5
libpoppler126:amd64	22.12.0-2+deb12u2
libpopt0:amd64	1.19+dfsg-1
libportaudio2:amd64	19.6.0-1.2
